Elevation (ft),Prototype Volume (ac-ft),Imposed Volume (ac-ft)
52.80000000000000,0,0
52.90000000000000,3.659064272638346,5.454706125115793
53.00000000000000,7.177244415687642,10.90925157966120
53.09999999999999,10.56251500252047,16.36379703420660
53.20000000000000,13.82285060651058,21.81834248875201
53.30000000000000,16.96622580103053,27.27288794329741
53.40000000000000,20.00061515945330,32.72743339784281
53.50000000000000,22.93399325515183,38.18197885238821
53.59999999999999,25.77433466149879,43.63652430693362
53.70000000000000,28.52961395186779,49.09106976147903
53.80000000000000,31.20780569963145,54.54561521602444
53.90000000000000,33.81688447816275,60.00016067056984
53.99999999999999,36.36482486083437,65.45470612511525
54.09999999999999,38.85960142101985,70.90925157966066
54.20000000000000,41.30918873209185,76.36379703420606
54.30000000000000,43.72156136742337,81.81834248875147
54.40000000000000,46.10469390038733,87.27288794329688
54.49999999999999,48.46656090435645,92.72743339784228
54.59999999999999,50.81513695270423,98.18197885238769
54.70000000000000,53.15839661880337,103.6365243069331
54.80000000000000,55.50431447602684,109.0910697614785
54.90000000000000,57.86086509774759,114.5456152160239
54.99999999999999,60.23602305733830,120.0001606705693
55.09999999999999,62.63776292817255,125.4547061251147
55.20000000000000,65.07405928362296,130.9092515796601
55.30000000000000,67.55288669706250,136.3637970342055
55.40000000000000,70.08221974186415,141.8183424887509
55.49999999999999,72.67003299140059,147.2728879432963
55.59999999999999,75.32430101904535,152.7274333978417
55.70000000000000,78.05299839817117,158.1819788523871
55.80000000000000,80.86409970215088,163.6365243069326
55.89999999999999,83.76557950435723,169.0910697614780
55.99999999999999,86.76541237816380,174.5456152160234
56.09999999999999,89.87157289694328,180.0001606705688
56.20000000000000,93.09203563406857,185.4547061251142
56.30000000000000,96.43477516291260,190.9092515796596
56.39999999999999,99.90776605684803,196.3637970342050
56.49999999999999,103.5189828892487,201.8183424887504
56.59999999999999,107.2764002334868,207.2728879432958
56.70000000000000,111.1879926629358,212.7274333978412
56.80000000000000,115.2617347509684,218.1819788523866
56.89999999999999,119.5056010709569,223.6365243069320
56.99999999999999,123.9275661962756,229.0910697614774
57.09999999999999,128.5356047002967,234.5456152160228
57.20000000000000,133.3376911563934,240.0001606705682
57.30000000000000,138.3418001379386,245.4547061251137
57.39999999999999,143.5559062183044,250.9092515796591
57.49999999999999,148.9879839708652,256.3637970342045
57.59999999999999,154.6460079689935,261.8183424887499
57.70000000000000,160.5379527860620,267.2728879432953
57.80000000000000,166.6717929954438,272.7274333978407
57.89999999999999,173.0555031705111,278.1819788523861
57.99999999999999,179.6970578846383,283.6365243069315
58.09999999999999,186.6044317111977,289.0910697614769
58.20000000000000,193.7855992235623,294.5456152160223
58.29999999999999,201.2485349951040,300.0001606705677
58.39999999999999,209.0012135991976,305.4547061251131
58.49999999999999,217.0887254266082,310.9092515796585
58.59999999999999,225.5422328253509,316.3637970342039
58.70000000000000,234.3488183046732,321.8183424887494
58.79999999999999,243.4955643738206,327.2728879432947
58.89999999999999,252.9695535420426,332.7274333978402
58.99999999999999,262.7578683185853,338.1819788523856
59.09999999999999,272.8475912126956,343.6365243069310
59.20000000000000,283.2258047336208,349.0910697614764
59.29999999999999,293.8795913906066,354.5456152160218
59.39999999999999,304.7960336929027,360.0001606705672
59.49999999999999,315.9622141497549,365.4547061251126
59.59999999999999,327.3652152704103,370.9092515796580
59.69999999999999,338.9921195641146,376.3637970342034
59.79999999999999,350.8300095401176,381.8183424887488
59.89999999999999,362.8659677076652,387.2728879432942
59.99999999999999,375.0870765760043,392.7274333978396
60.09999999999999,387.4804186543821,398.1819788523850
60.19999999999999,400.0330764520443,403.6365243069304
60.29999999999999,412.7321324782408,409.0990149862301
60.39999999999999,425.5646692422173,414.6815684805680
60.49999999999999,438.5177692532209,420.4353338922234
60.59999999999999,451.5785150204987,426.3555706093609
60.69999999999999,464.7339890532962,432.4503877661331
60.79999999999999,477.9712738608636,438.7209899512033
60.89999999999999,491.2774519524465,445.1696971579760
60.99999999999999,504.6396058372920,451.8118960242916
61.09999999999999,518.0448180246470,458.6410572790085
61.19999999999999,531.4801710237575,465.6654805779875
61.29999999999999,544.9327473438734,472.8923264600089
61.39999999999999,558.3896294942401,480.3316656916522
61.49999999999999,571.8378999841049,487.9756355754955
61.59999999999999,585.2646413227149,495.8320360071295
61.69999999999999,598.6569360193157,503.9133449612953
61.79999999999999,612.0018665831572,512.2178931121305
61.89999999999999,625.2865155234851,520.7682688050944
61.99999999999999,638.4979653495469,529.5702756058965
62.09999999999999,651.6232985705890,538.6318089416454
62.19999999999999,664.6495976958577,547.9558706837299
62.29999999999999,677.5639452346026,557.5549835923044
62.39999999999999,690.3534236960694,567.4475212044248
62.49999999999999,703.0051155895051,577.6559475952103
62.59999999999999,715.5061034241560,588.1871369778686
62.69999999999999,727.8434697092711,599.1040322650024
62.79999999999999,740.0042969540967,610.4300872181966
